item_id,name,base_price,demand,rarity,historical_value,season_factor,final_price
36,Antique_Item_36,3990,0.91,0.61,0.74,0.42,30315.8487492
37,Antique_Item_37,746,0.39,0.18,0.69,0.14,2357.36695272
38,Antique_Item_38,2988,0.2,0.43,0.35,0.3,8998.60104
39,Antique_Item_39,2535,0.31,0.34,0.96,0.12,9768.506092800002
40,Antique_Item_40,700,0.48,0.32,0.76,0.32,3177.022464
41,Antique_Item_41,2463,0.84,0.98,0.6,0.28,18377.116876800003
42,Antique_Item_42,2161,0.87,0.45,0.65,0.46,14115.659563500001
43,Antique_Item_43,341,0.11,0.9,0.48,0.24,1319.8189488
44,Antique_Item_44,2141,0.56,0.67,0.32,0.15,8466.9989976
45,Antique_Item_45,2924,0.48,0.82,0.42,0.16,12973.489518079996
46,Antique_Item_46,2712,0.3,0.55,0.78,0.4,13617.982559999999
47,Antique_Item_47,1463,0.21,0.62,0.11,0.35,4297.3572411000005
48,Antique_Item_48,1578,0.4,0.54,0.2,0.14,4654.165824
49,Antique_Item_49,2656,0.95,0.28,0.14,0.13,8539.962163200002
50,Antique_Item_50,875,0.39,0.75,0.14,0.38,3348.457875
51,Antique_Item_51,4114,0.57,0.35,0.87,0.13,18425.4353613
52,Antique_Item_52,134,0.73,0.12,0.73,0.43,642.3194377599999
53,Antique_Item_53,3252,0.43,0.68,0.53,0.38,16495.53377472
54,Antique_Item_54,2055,0.97,0.26,0.19,0.13,6859.208468699999
55,Antique_Item_55,1685,0.97,0.95,0.54,0.13,11264.188435499998
56,Antique_Item_56,4043,0.33,0.96,0.53,0.49,24026.42488428
57,Antique_Item_57,3173,0.55,0.92,0.26,0.25,14872.4856
58,Antique_Item_58,1121,0.37,0.43,0.49,0.25,4090.33142375
59,Antique_Item_59,3561,0.36,0.11,0.46,0.43,11223.356395679999
60,Antique_Item_60,2713,0.13,0.94,0.65,0.48,14523.645061199997
61,Antique_Item_61,3943,0.65,0.49,0.67,0.49,24121.24552365
62,Antique_Item_62,1600,0.55,0.97,0.14,0.4,7797.417600000001
63,Antique_Item_63,4898,0.15,0.97,0.44,0.25,19973.5542
64,Antique_Item_64,261,0.35,0.87,0.66,0.13,1235.9543031
65,Antique_Item_65,4397,0.92,0.37,0.55,0.41,25277.2062624
66,Antique_Item_66,2081,0.32,0.45,0.87,0.32,9831.721125600001
67,Antique_Item_67,1095,0.23,0.87,0.69,0.27,5405.691569850001
68,Antique_Item_68,3442,0.54,0.39,0.25,0.46,13446.49999
69,Antique_Item_69,4651,0.99,0.25,0.16,0.14,15299.324969999998
70,Antique_Item_70,3898,0.32,0.6,0.68,0.3,17979.945984000005
71,Antique_Item_71,1375,0.7,0.94,0.12,0.1,5586.812000000001
72,Antique_Item_72,1116,0.79,0.73,0.63,0.29,7266.75709644
73,Antique_Item_73,437,0.31,0.61,0.95,0.12,2012.9419128
74,Antique_Item_74,978,0.76,0.19,0.62,0.15,3816.0261215999994
75,Antique_Item_75,1176,0.43,0.65,0.45,0.15,4626.932309999999
76,Antique_Item_76,4987,0.67,0.99,0.68,0.36,37866.66921408
77,Antique_Item_77,4093,0.67,0.23,0.51,0.4,17773.309768199997
78,Antique_Item_78,4959,0.58,0.57,0.59,0.33,26013.54938238
79,Antique_Item_79,479,0.18,0.89,0.95,0.48,3083.0150987999996
80,Antique_Item_80,592,0.85,0.77,0.45,0.25,3513.5385
81,Antique_Item_81,2162,0.39,0.73,0.97,0.21,12392.76428918
82,Antique_Item_82,3984,0.27,0.73,0.91,0.45,24242.1159048
83,Antique_Item_83,164,0.14,0.42,0.28,0.19,404.38401024
84,Antique_Item_84,2668,0.63,0.36,0.16,0.49,10222.487676159997
85,Antique_Item_85,2127,0.71,0.83,0.19,0.1,8712.731619900002
86,Antique_Item_86,2795,0.11,0.83,0.12,0.49,9474.584464800002
87,Antique_Item_87,1595,0.56,0.88,0.18,0.12,6182.201625600001
88,Antique_Item_88,491,0.3,0.92,0.71,0.46,3059.6731776
89,Antique_Item_89,4614,0.68,0.56,0.16,0.31,18375.56727552
90,Antique_Item_90,4574,0.26,0.55,0.39,0.5,18625.35087
91,Antique_Item_91,3661,0.72,0.82,0.86,0.13,24087.456949919993
92,Antique_Item_92,2378,0.45,0.68,0.12,0.32,8564.087347200002
93,Antique_Item_93,3199,0.94,0.73,0.83,0.49,29275.170377459992
94,Antique_Item_94,300,0.22,0.82,0.35,0.31,1178.03322
95,Antique_Item_95,4975,0.41,0.9,0.21,0.35,21771.3288375
96,Antique_Item_96,3204,0.2,0.4,0.73,0.38,12850.705727999997
97,Antique_Item_97,4698,0.93,0.44,0.67,0.28,27909.96258816
98,Antique_Item_98,2554,0.89,0.18,0.89,0.35,14533.167436200001
99,Antique_Item_99,3745,0.33,0.62,0.76,0.33,18887.861361600004
100,Antique_Item_100,904,0.69,0.13,0.82,0.46,4587.307175359999
